Time (h),Observed,Predicted,Residual,Normalized Residual
0.0,0.74,0.0,0.74,1.1864396038514533
0.25,2.84,3.8775150227253823,-1.0375150227253824,-1.6634444764219383
0.57,6.57,6.810863208915701,-0.2408632089157008,-0.3861752029301809
1.12,10.5,9.035320428978347,1.4646795710216534,2.348316013530064
2.02,9.66,9.758259986125942,-0.09825998612594233,-0.15753991758609773
3.82,8.58,9.123556684532502,-0.5435566845325024,-0.871482672253448
5.1,8.36,8.52522567552888,-0.16522567552888034,-0.2649057905683427
7.03,7.47,7.683262668470534,-0.21326266847053432,-0.34192334580606026
9.05,6.89,6.889934925880887,6.507411911282901e-05,0.00010433312446109073
12.12,5.94,5.838195217474717,0.10180478252528324,0.16322327817497354
24.37,3.28,3.0146386059557013,0.2653613940442985,0.4254530638207931
